FEN,First Move,Second Move,Who Moved,Tactic
6k1/p1p2r2/4R2p/2b1p1p1/4Pp2/2N2P2/2P2rPP/4R1K1,Kh1,Bb4,white,skewer
3r4/p4k1p/2B2pp1/1P6/5n2/2K3P1/P4P1P/4R3,Nd3,Rd1,black,skewer
3q3r/p1n3k1/1p1pB3/2pP2N1/2P2r2/3Q1R2/6P1/4R1K1,Qxg5,Rg3,black,skewer
1rbr2k1/2p2ppp/p1n3q1/1p2P3/3P2n1/P1NB1N2/1PPQ2PP/R3K2R,Bf5,Nh4,black,skewer
3b4/3r2p1/3p1p2/1k3Pp1/2p1P1P1/2B3P1/3R4/3K4,Ba5,Rd5+,black,skewer
1R2k2r/5ppp/2bPpn1n/B2p2N1/8/2PBP3/P4PPP/6K1,Kd7,Rxh8,black,skewer
3r4/R7/8/5k2/8/1P1Np3/P1K2b2/8,e2,Rf7+,black,skewer
5r2/pp4pk/3R3p/1P6/P7/4K1PP/2r1p1P1/4R3,Rxe2,Re8+,white,skewer
2r3k1/pp1q1ppp/3p4/3P1b2/8/3n2N1/PPBQ1PPP/K6R,Nxf2,Bxf5,black,skewer
2k3r1/pp3p1p/8/3b4/5PP1/bPP3RP/K2P1P2/4R3,Bd6,Rd3,black,skewer
3r1rk1/1b3pbp/p2ppqp1/1p6/3NPBP1/P6P/1P1Q4/RB2RNK1,e5,Bg5,black,skewer
8/1Rp3rk/6q1/p2Q1p2/b2P3n/2P3P1/2P1RP1P/7K,Rb1,Bc6,white,skewer
r6r/p1Q1bkpp/3Bq3/5p2/8/8/PPP2PPP/3R1RK1,Rhe8,Rfe1,black,skewer
r1b2rk1/4bppp/p2pp3/1p6/3BqP2/2P5/PP2BQPP/R4RK1,Bb7,Bf3,black,skewer
3R1b1r/1pp2p1p/p3kpp1/8/4r3/4PN2/PPP3PP/2K2R2,Rxe3,Re8+,black,skewer
2kr3r/ppp1b2p/1q2bpp1/4pn2/2PnN3/1P1P2P1/PB1Q1P1P/2K1RBNR,Qc3,Bb4,white,skewer
